,productTitle,Rating,Review Title,Review Body
54,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Key for Windows and MS office was not provided,Key for Windows and MS office was not provided.
55,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Thermals,The laptop is powerful but it has poor thermals.
56,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",2.0 out of 5 stars,poor body quality,look is good but big problem is that body having flexing problem and auto working mouse pad  problemthis is biggest mistake by hp
57,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Battery,"Grt product. A product with all fully packed features. Feels like a classy gaming laptop. It has a grt processor,refresh rate, back-lit keyboard, 9ms response time and mainly IPS 4K panel display which is not available in many other laptops at this price range. But the only problem is the battery. It doesn't last too long. But charges very fast which is good. The only problem is battery because of which this laptop gets a 4 star from me."
58,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Hp victus i5 12th gen laptop,"The media could not be loaded.
                



Nice pic and nice look performance is better but battery is low 2 hours 50 minutes only it's my honest review"
59,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Does it upgradeable ram..?,"Me ek mahine hua use kr rha hun, ek 2 problem Aya h, ek toh screen kavi kavi plickering ho rha h..or dosra hang problem.."
60,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",2.0 out of 5 stars,get good deal,"MSI Gaming GF63 Thin, Intel Core i7-11800H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX1650 4GB GDDR6/ Black/1.86Kg), 11SC-852INtry to purchase this you get good benefitshttps://amzn.to/3Rxgvna"
61,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Not working properly with a week of purchase,Don’t purchase the HP laptops n worst service n no call facility n no service n with in week of purchase stated troubleWaste of money don’t buyLow quality metal used
62,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Not an Official Product,"this model (0666TX) of victus is not actually available in India, 0555TX is the official hp product released in India, this laptop has 1 USB port 2.0 extra than the original indian model, and this is cheap than the indian model, overall best laptop under 75k, and this model is not listed in hp website as it is a different country model."
63,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",2.0 out of 5 stars,Issue,Took victus 15 with i5 8gb ram but mild heat is there and bit slow with normal use need to keep updating again and again battery back up is just 1.5 hours now contacting customer care for help as per my veiw too much issue for new laptop as its not been one year I brought for like 68k offline better consider other options too
64,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",4.0 out of 5 stars,Looking for a high-performance laptop that can handle all your professional needs?,"Look no further than the HP i5-12450H GeForce graphics 15-fa0666TX! With its powerful Intel Core i5 processor and NVIDIA GeForce graphics, this laptop is designed to handle even the most demanding tasks with ease.Some of the key features of this laptop include:- 15.6-inch Full HD display for clear, vibrant visuals- 8GB DDR4 RAM for smooth multitasking- 512GB SSD for lightning-fast storage- NVIDIA GeForce graphics card for smooth, lag-free performance- Windows 10 Home operating system for maximum productivityWhether you're a creative professional, a business executive, or a student, this laptop has everything you need to get the job done. So why wait? Click on the link below to get your hands on the HP i5-12450H GeForce graphics 15-fa0666TX today!Please leave a like if you're reading this"
65,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",3.0 out of 5 stars,Few problems that I face,"I am using this laptop from 8 to 9 month .The overall performance of the laptop is very good it give me 100 + FPS in games like GTA v for cry 6 ,valorent goes to 200 to 300 FPS in highest graphics settings.The problems I faced with this product are : 1. There are some issue with my device in my case the RAM is faulty due to which the game leg and suddenly shutdown but I complaint about it on HP customer care and within a week day test and replace my RAM and then my PC works really well they also gave clean up to my PC and change the coolant.2. And there was issue in my window 11.3. USB ports are only two so you have to buy a for USB hub or any type of hub.4. Camera and mic sucks you have to use external mic and camera.Good things :1. Temperature does not reach above than 90° C with a cooling pad but I also suggest to use laptop in AC room or infront of coolar or a fan .2. Wobling is not an issue I use my laptop in front of a cooler on a high speed and the screen does not shake a little bit but when you slightly touch the laptop it moves a little bit and it is mandatory to use laptop when the lead is open.3. Gaming experience is quite good and I have no complaint about it I run high and FPS shooting games and high graphic games on it and softwares like unreal engine, Android studio, Da vinci's resolve etc4. Last thing is about their customer care you have to wait for some time on call in my case it take an hour but the solution they give about my problems solve it instantly and for any hardware aur software issue the engineer from HP customer care came to your home repair your PC in front of your eyes in  the engineer from HP customer care came to your home repair your PC in front of your eyes in front  the engineer from HP customer care came to your home repair your PC in front of you oh sometime day take it with them and give it back to you in 2 to 3 days in my case it take 2 days and my PC is completely repaired so I highly suggest you to increase your warranty at the time you buy and check that the warranty was increased by HP itself not by Amazon or any other e-commerce website.###worth it laptop for all category of students and gamers###"
66,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",2.0 out of 5 stars,i5 12th at this time?,i5th 12th gen? you may feel outdated in few months once 14th gen is outClick on my profile for gaming laptop idealist and discover!
67,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",1.0 out of 5 stars,Keypad are not working,"The media could not be loaded.
                



This was my first experience but the first experience was my worst experience I was eagerly waiting to unbox but after unbox I was very much hurt please if ur buying also my concern is to visit a particular shop but there will be price variation but for these kind of products do not go with e-commerce platform 🤬🤬😢😢😥😭😭😭"
68,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,My dream laptop....,Oh! What a great deal for a great laptop. Love it. But I can't afford it . It's very costly. Oh God😭 .Why My dreams can't come true.......
69,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm) FHD IPS 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&amp;O Dual Speakers (Win 11, MSO, Blue, 2.37 kg), fa0666TX",5.0 out of 5 stars,Very very good,Very very good product better than Pavillion  i have no complaints for this masterpiece  very very good hp victus  is my favorite  laptop
